number	disfunctionalPercentage	disabledPercentage	incapacitatedPercentage	firstPickAbility	overallSecondPickAbility	siegeAbility	siegeConsistency	challengePercentage	scalePercentage	RScoreDrivingAbility	avgDrivingAbility	RScoreDefense	avgDefense	RScoreBallControl	avgBallControl	RScoreSpeed	avgSpeed	RScoreAgility	avgAgility	RScoreTorque	avgTorque	autoAbility	sdAutoAbility	highShotAccuracyAuto	avgLowShotsTele	avgHighShotsTele	sdHighShotsTele	highShotAccuracyTele	teleopShotAbility	crossingsSuccessRateForDefenseTele	avgTimeForDefenseCrossTele	crossingsSuccessRateForDefenseAuto	
604	0.125	0.0	0.125	88.6917814882	4.05470111963	4.375	0.875	0.875	0.0	0.561548622015	1.70926801252	5.5009676235	3.25	-0.593525364859	1.625	0.775515199828	2.5	0.264249651698	2.125	1.13013233189	2.625	0.5	0.866025403784	0.0	0.0	0.0	0.0	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.804, 'cdf': 0.0, 'rw': 0.7156666666666666, 'lb': 0.193625, 'mt': 0.69075, 'sp': 0.0, 'db': 0.0, 'pc': 0.0, 'rp': 2.2035833333333334}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
5171	0.125	0.0	0.125	80.1613431523	-6.71173270893	0.625	0.125	0.125	0.0	-1.76150650657	0.398046496575	-0.364192144697	1.875	-0.17305725081	1.875	-1.20804055106	1.25	-1.0287777702	1.375	-1.32102074083	1.25	0.5	0.866025403784	0.0	0.0	0.0	0.0	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 2.3855, 'cdf': 0.0, 'rw': 0.0, 'lb': 0.49212500000000003, 'mt': 4.120749999999999, 'sp': 1.8796666666666668, 'db': 0.0, 'pc': 0.0, 'rp': 0.0}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
199	0.25	0.125	0.125	82.3103815108	-2.65020392563	1.875	0.375	0.375	0.0	-0.795470972363	0.943314046203	-1.96378117239	1.5	-0.803759421884	1.5	-1.40639612615	1.125	-1.24428234052	1.25	-1.32102074083	1.25	0.25	0.661437827766	0.0	0.0	0.125	0.330718913883	0.125	0.625	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.0, 'cdf': 0.15741666666666668, 'rw': 0.6360714285714285, 'lb': 0.0, 'mt': 0.25266666666666665, 'sp': 0.3297857142857143, 'db': 0.0, 'pc': 0.0, 'rp': 0.1288}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
668	0.0	0.0	0.0	94.8349323581	7.12519928826	4.375	0.875	0.875	0.0	1.48408245366	2.22998153083	0.169004197866	2.0	1.08834709134	2.625	0.577159624739	2.375	1.34177250328	2.75	1.13013233189	2.625	0.25	0.661437827766	0.0	1.625	0.125	0.330718913883	0.125	3.875	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.0, 'cdf': 0.0, 'rw': 0.0, 'lb': 0.9429166666666666, 'mt': 0.0, 'sp': 0.0, 'db': 0.0, 'pc': 0.0, 'rp': 0.0}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
766	0.375	0.125	0.25	86.8774946399	-1.63256276964	2.5	0.5	0.5	0.0	-0.875785751951	0.897981300653	-1.43058482982	1.625	-1.85492970701	0.875	-1.00968497597	1.375	-1.45978691084	1.125	-1.09818864331	1.375	0.5	0.866025403784	0.0	0.75	0.125	0.330718913883	0.125	2.125	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.77475, 'cdf': 0.0, 'rw': 0.51925, 'lb': 0.45525000000000004, 'mt': 0.2245, 'sp': 0.0, 'db': 0.0, 'pc': 0.4706666666666666, 'rp': 0.2925}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
192	0.0	0.0	0.0	107.866123558	8.2145380703	2.5	0.5	0.5	0.0	1.3381359979	2.1476037471	0.169004197866	2.0	1.71904926241	3.0	0.577159624739	2.375	1.5572770736	2.875	1.13013233189	2.625	3.75	4.84122918276	0.375	0.125	2.625	1.2183492931	0.125	13.375	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.0, 'cdf': 1.1645833333333335, 'rw': 0.0, 'lb': 0.7969791666666667, 'mt': 0.0, 'sp': 0.0, 'db': 0.0, 'pc': 0.494, 'rp': 0.0}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
115	0.125	0.0	0.125	89.7049358364	1.33375922697	1.875	0.375	0.375	0.0	0.330410896939	1.57880500519	0.169004197866	2.0	0.667878977289	2.375	0.577159624739	2.375	-0.382264059253	1.75	0.461636039332	2.25	0.5	0.866025403784	0.0	0.375	0.75	0.829156197589	0.25	4.5	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.43, 'cdf': 0.905, 'rw': 0.5734166666666667, 'lb': 0.395625, 'mt': 0.0, 'sp': 0.0, 'db': 0, 'pc': 0.0, 'rp': 1.0805}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
114	0.125	0.0	0.125	106.391005886	4.75219319772	3.125	0.625	0.625	0.0	0.946864610053	1.92675515164	-0.89738848726	1.75	0.0371768062149	2.0	0.775515199828	2.5	0.695258792332	2.375	0.907300234373	2.5	1.25	0.968245836552	0.0	0.0	2.625	1.99608992783	0.125	13.125	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.0, 'cdf': 0.6296, 'rw': 0.7995714285714285, 'lb': 0.176625, 'mt': 0.0, 'sp': 0.3302, 'db': 0.0, 'pc': 0.5315, 'rp': 0.6548}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
4765	0.25	0.0	0.25	85.8798828577	-4.36228815851	2.5	0.5	0.5	0.0	-1.69669028332	0.434631261808	-0.364192144697	1.875	-0.17305725081	1.875	-1.00968497597	1.375	-0.813273199887	1.5	-0.206860253229	1.875	0.5	0.866025403784	0.0	0.0	0.0	0.0	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.0, 'cdf': 1.5254166666666666, 'rw': 7.199249999999999, 'lb': 0.071125, 'mt': 0.733, 'sp': 0.0, 'db': 0.0, 'pc': 0.35775, 'rp': 0.4303}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
253	0.25	0.0	0.25	83.955036428	-4.83420139252	1.25	0.25	0.25	0.0	-1.6530917293	0.45923995981	-1.96378117239	1.5	-1.01399347891	1.375	-1.20804055106	1.25	-1.45978691084	1.125	-1.76668493587	1.0	0.5	0.866025403784	0.0	0.125	0.0	0.0	0.0	0.25	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.8033333333333333, 'cdf': 0.0, 'rw': 0.0, 'lb': 0.065125, 'mt': 3.8708750000000003, 'sp': 0.0, 'db': 0.0, 'pc': 1.641, 'rp': 0.370125}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
