RScoreDrivingAbility	RScoreBallControl	sdGroundIntakes	disabledPercentage	avgBallControl	avgHighShotsTele	avgGroundIntakes	numAutoPoints	avgShotsBlocked	sdBallsKnockedOffMidlineAuto	predictedNumRPs	RScoreSpeed	highShotAccuracyTele	sdShotsBlocked	sdSuccessfulDefenseCrossesAuto	avgLowShotsTele	sdLowShotsAuto	siegeConsistency	avgDefense	avgSuccessfulTimesCrossedDefensesAuto	avgSpeed	avgTimeForDefenseCrossTele	sdAutoAbility	firstPickAbility	avgHighShotsAuto	avgFailedTimesCrossedDefensesTele	sdHighShotsTele	RScoreEvasion	sdHighShotsAuto	avgSuccessfulTimesCrossedDefenses	sdLowShotsTele	sdMidlineBallsIntakedAuto	sdFailedDefenseCrossesTele	disfunctionalPercentage	autoAbility	teleopShotAbility	avgFailedTimesCrossedDefensesAuto	lowShotAccuracyAuto	avgLowShotsAuto	sdSiegeAbility	actualSeed	incapacitatedPercentage	siegeAbility	predictedSeed	numRPs	RScoreTorque	lowShotAccuracyTele	highShotAccuracyAuto	secondPickAbility	breachPercentage	challengePercentage	avgEvasion	RScoreDefense	sdTeleopShotAbility	avgTorque	reachPercentage	avgBallsKnockedOffMidlineAuto	avgMidlineBallsIntakedAuto	citrusDPR	blockingAbility	overallSecondPickAbility	sdFailedDefenseCrossesAuto	numScaleAndChallengePoints	sdSuccessfulDefenseCrossesTele	avgSuccessfulTimesCrossedDefensesTele	avgTimeForDefenseCrossAuto	scalePercentage	
0.0503238776627	0.566148377672	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0	0.566148377672	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	0.0	0.0	1.0	1.0	{'pc': 0.0, 'lb': 0.0, 'rw': 0.0, 'rp': 0.0, 'sp': 0.0}	1.0	{'pc': 0.0, 'lb': 578.0, 'rw': 0.0, 'rp': 0.0, 'sp': 0.0}	None	None	0.0	{'pc': 0.0, 'lb': 0.0, 'rw': 0.0, 'rp': 0.0, 'sp': 0.0}	0.0	0.566148377672	0.0	{'rt': 0, 'cdf': 0, 'rw': 0.0, 'lb': 1.0, 'mt': 0, 'sp': 0.0, 'db': 0, 'pc': 0.0, 'rp': 0.0}	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	0.0	0	0.0	{'pc': 0.0, 'lb': 0.0, 'rw': 0.0, 'rp': 0.0, 'sp': 0.0}	0.0	0.0	None	None	0.0	5.0	None	4	0.559440128692	0.0	0.0	{}	1.0	1.0	1.0	0.566148377672	None	1.0	1.0	1.0	0.0	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	5.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'pc': 0.0, 'lb': 1.0, 'rw': 0.0, 'rp': 0.0, 'sp': 0.0}	{'pc': 0.0, 'lb': 0.0, 'rw': 0.0, 'rp': 0.0, 'sp': 0.0}	0.0	
1.0525610806e-07	0.332812394128	0.0	0.0	3.0	0.0	0.0	12.0	0.0	0.0	0	0.332812394128	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	0.0	0.0	1.0	3.0	{'rt': 0.0, 'db': 0.0, 'rp': 2.0, 'pc': 0.0, 'lb': 0.0}	3.0	{'rt': 0.0, 'db': 0.0, 'rp': 0.0, 'pc': 0.0, 'lb': 0.0}	None	None	0.0	{'rt': 0.0, 'db': 0.0, 'rp': 0.0, 'pc': 0.0, 'lb': 0.0}	0.0	0.332812394128	0.0	{'rt': 0.0, 'cdf': 0, 'rw': 0, 'lb': 0.0, 'mt': 0, 'sp': 0, 'db': 0.0, 'pc': 0.0, 'rp': 2.0}	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	0.0	10.0	0.0	{'rt': 0.0, 'db': 0.0, 'rp': 0.0, 'pc': 0.0, 'lb': 0.0}	0.0	0.0	None	None	0.0	15.0	None	1	0.342587379856	0.0	0.0	{}	1.0	0.0	3.0	0.332812394128	None	3.0	0.0	1.0	2.0	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	15.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.0, 'db': 0.0, 'rp': 0.0, 'pc': 0.0, 'lb': 0.0}	{'rt': 0.0, 'db': 0.0, 'rp': 441.0, 'pc': 0.0, 'lb': 0.0}	1.0	
{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{}	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	
{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{}	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	
{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{}	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	
3.61405125008e-09	0.294410928984	0.0	0.0	0.0	4.0	0.0	22.0	0.0	0.0	0	0.294410928984	1.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	1.0	0.0	1.0	0.0	{'mt': 0.0, 'rw': 0.0, 'lb': 0.0, 'sp': 0.0, 'pc': 1.0}	0.0	{'mt': 0.0, 'rw': 0.0, 'lb': 0.0, 'sp': 419.0, 'pc': 438.0}	None	None	1.0	{'mt': 0.0, 'rw': 0.0, 'lb': 0.0, 'sp': 0.0, 'pc': 0.0}	0.0	0.294410928984	0.0	{'rt': 0, 'cdf': 0, 'rw': 0.0, 'lb': 0.0, 'mt': 0.0, 'sp': 1.0, 'db': 0, 'pc': 2.0, 'rp': 0}	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	0.0	20.0	22.0	{'mt': 0.0, 'rw': 0.0, 'lb': 1.0, 'sp': 0.0, 'pc': 0.0}	0.0	0.0	None	None	0.0	15.0	None	4	0.285038166003	1.0	0.0	{}	1.0	0.0	0.0	0.294410928984	None	0.0	0.0	1.0	1.0	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	15.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'mt': 0.0, 'rw': 0.0, 'lb': 0.0, 'sp': 1.0, 'pc': 1.0}	{'mt': 0.0, 'rw': 0.0, 'lb': 0.0, 'sp': 0.0, 'pc': 473.0}	1.0	
{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{}	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	
0.0503238776627	0.566148377672	0.0	0.0	1.0	1.0	1.0	57.0	1.0	0.0	0	0.566148377672	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	1.0	0.0	1.0	1.0	{'mt': 1.0, 'rw': 1.0, 'lb': 0.0, 'sp': 0.0, 'pc': 1.0}	1.0	{'mt': 735.0, 'rw': 609.0, 'lb': 1281.0, 'sp': 0.0, 'pc': 1239.0}	None	None	4.0	{'mt': 0.0, 'rw': 0.0, 'lb': 0.0, 'sp': 0.0, 'pc': 0.0}	0.0	0.566148377672	0.0	{'rt': 0, 'cdf': 0, 'rw': 2.0, 'lb': 1.0, 'mt': 2.0, 'sp': 0.0, 'db': 0, 'pc': 2.0, 'rp': 0}	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	0.0	57.0	7.0	{'mt': 0.0, 'rw': 0.0, 'lb': 0.0, 'sp': 0.0, 'pc': 0.0}	0.0	1.0	None	None	0.0	5.0	None	4	0.559440128692	0.0	0.0	{}	1.0	1.0	1.0	0.566148377672	None	1.0	1.0	2.0	3.0	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	5.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'mt': 1.0, 'rw': 1.0, 'lb': 1.0, 'sp': 0.0, 'pc': 1.0}	{'mt': 958.0, 'rw': 590.0, 'lb': 0.0, 'sp': 0.0, 'pc': 1358.0}	0.0	
{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{}	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	None	None	None	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	None	None	None	
1.0525610806e-07	0.332812394128	0.0	0.0	3.0	2.0	0.0	32.0	0.0	0.0	0	0.332812394128	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	0.0	0.0	0.0	3.0	{'rt': 0.0, 'db': 2.0, 'rp': 3.0, 'pc': 0.0, 'lb': 0.0}	3.0	{'rt': 458.5, 'db': 0.0, 'rp': 0.0, 'pc': 0.0, 'lb': 0.0}	None	None	2.0	{'rt': 0.0, 'db': 0.0, 'rp': 0.0, 'pc': 0.0, 'lb': 0.0}	0.0	0.332812394128	0.0	{'rt': 2.0, 'cdf': 0, 'rw': 0, 'lb': 0.0, 'mt': 0, 'sp': 0, 'db': 2.0, 'pc': 0.0, 'rp': 3.0}	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	1.0	30.0	10.0	{'rt': 0.0, 'db': 0.0, 'rp': 0.0, 'pc': 0.0, 'lb': 0.0}	0.0	0.0	None	None	1.0	0.0	None	1	0.342587379856	0.0	0.0	{}	1.0	0.0	3.0	0.332812394128	None	3.0	0.0	1.0	1.0	None	None	None	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 2.0, 'db': 0.0, 'rp': 0.0, 'pc': 0.0, 'lb': 0.0}	{'rt': 0.0, 'db': 497.5, 'rp': 540.6666666666666, 'pc': 0.0, 'lb': 0.0}	0.0	
