number	RScoreDrivingAbility	disabledPercentage	numAutoPoints	sdLowShotsTele	sdHighShotsTele	actualSeed	incapacitatedPercentage	avgShotsBlocked	highShotAccuracyTele	sdShotsBlocked	siegeConsistency	disfunctionalPercentage	sdSiegeAbility	overallSecondPickAbility	
1323	0.838445024025	0.0	10.0	0.0	2.5	11	0.0	0.0	0.357142857143	0.0	1.0	0.0	0.0	13.675	
3925	-1.04283051465	0.5	0.0	0.0	0.0	11	0.0	0.0	0.0	0.0	0.0	0.5	0.0	1.05	
3495	0.378577670128	0.0	1.0	0.0	0.5	3	1.0	0.0	0.708333333333	0.0	0.0	1.0	0.0	2.4	
701	0.404426007689	0.0	6.0	0.0	0.0	12	1.0	0.0	0.0	0.0	0.0	1.0	0.0	7.65	
5499	0.294965423964	0.0	10.0	0.0	0.0	9	0.0	0.0	0.0	0.0	1.0	0.0	0.0	13.35	
5137	1.43934600403	0.0	10.0	0.0	0.0	13	0.0	0.0	0.0	0.0	1.0	0.0	0.0	69.37886528	
5136	0.560684409256	0.0	0.0	0.0	0.0	20	0.0	0.0	0.0	0.0	1.0	0.0	0.0	58.72886528	
5496	-0.959218268483	0.0	2.0	0.0	0.0	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	
5134	0.294965423964	0.0	2.0	0.0	0.0	17	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.35	
3045	-0.959218268483	0.0	10.0	0.0	0.0	13	0.0	0.0	0.0	0.0	1.0	0.0	0.0	12.6	
3303	0.47056527133	0.0	6.66666666667	0.471404520791	0.0	21	0.0	0.0	0.0	0.0	0.666666666667	0.0	2.35702260396	59.1687298633	
254	1.64211406437	0.0	10.0	0.0	0.0	8	0.0	0.0	0.75	0.0	1.0	0.0	0.0	69.52886528	
5458	0.864836499756	0.0	10.0	0.0	0.0	21	0.0	0.0	0.0	0.0	0.5	0.0	2.5	59.713662155	
1422	-1.26422813375	0.0	0.0	0.0	0.0	36	0.0	0.0	0.0	0.0	1.0	0.0	0.0	57.37886528	
