number	numAutoPoints	actualSeed	siegeConsistency	disfunctionalPercentage	avgDrivingAbility	
1323	10.0	11	1.0	0.0	1.675	
3925	0.0	11	0.0	0.5	0.55	
3495	1.0	3	0.0	1.0	1.4	
701	6.0	12	0.0	1.0	1.65	
5499	10.0	9	1.0	0.0	1.35	
5137	10.0	13	1.0	0.0	2.4	
5136	0.0	20	1.0	0.0	1.75	
5496	2.0	14	0.0	0.0	0.6	
5134	2.0	17	1.0	0.0	1.35	
3045	10.0	13	1.0	0.0	0.6	
3303	6.66666666667	21	0.666666666667	0.0	1.68333333333	
254	10.0	8	1.0	0.0	2.55	
5458	10.0	21	0.5	0.0	1.975	
1422	0.0	36	1.0	0.0	0.4	
973	10.0	27	1.0	0.0	1.0	
972	10.0	43	0.0	0.0	2.45	
1967	10.0	41	0.0	0.0	1.85	
3970	5.2	21	0.6	0.2	1.43	
1678	20.0	1	1.0	0.0	1.15	
2073	0.0	18	0.0	1.0	0.9	
8	0.0	31	0.5	0.5	0.825	
812	7.4	25	0.5	0.0	1.635	
1671	10.0	7	1.0	0.0	2.15	
3859	2.0	19	1.0	0.0	0.7	
751	10.0	18	0.0	1.0	1.35	
585	0.0	32	0.0	0.0	2.35	
5852	7.6	14	0.9	0.1	1.325	
2813	0.0	10	1.0	0.0	0.3	
4255	0.0	16	1.0	0.0	0.6	
2761	10.0	38	1.0	0.0	2.65	
2643	1.0	33	0.2	0.1	1.225	
670	2.0	33	1.0	0.0	1.65	
2135	8.0	35	0.5	0.1	1.52	
5677	10.0	29	1.0	0.0	2.65	
4543	10.0	30	1.0	0.0	0.7	
5104	6.0	9	1.0	0.0	0.7	
4711	10.0	6	1.0	0.0	1.1	
4171	5.0	26	0.5	0.0	0.925	
3482	10.0	4	1.0	0.0	2.25	
3501	5.0	28	0.0	1.0	0.2	
4135	2.0	2	0.5	0.0	1.575	
3189	10.0	16	0.0	1.0	0.85	
6059	10.0	17	0.5	0.5	0.875	
4990	0.0	24	0.0	1.0	0.0	
649	10.0	34	0.0	0.0	2.65	
5817	10.0	12	0.0	1.0	2.2	
1458	10.0	3	0.5	0.0	0.375	
1662	0.0	4	1.0	0.0	0.525	
4973	10.0	37	0.0	1.0	1.35	
